objID,objID_src,rot,x_lens,y_lens,q,PA,r_Einstein,z_source,z_lens,velDisp,x_source,y_source,boost,shear,shear_PA
25,270,0,0.06480001,0.00262514,0.90488815,1.28780505,2.46650918,3.715871,0.5420215,348.15536,-0.56045825,-0.50951266,-5.0,0.06895682,2.00398982
27,7393,0,-0.02274058,0.01464106,0.68753475,1.78785388,2.45950611,6.396018,0.5754538,338.80634,-0.09396267,0.91629083,-4.0,0.02998362,2.49262836
28,6325,0,0.01830583,0.05421474,0.87214233,1.29867591,2.49673977,3.416527,0.7537344,379.64618,-0.02631082,-0.06451457,-4.0,0.02083874,1.15612837
30,6426,0,0.03033498,0.01657703,0.96173439,1.06503405,2.46400211,2.993851,0.81058574,393.27762,0.03202826,0.00489882,-5.0,0.08249076,1.24367611
31,1052,0,-0.03316519,-0.05778523,0.84338459,0.87501286,2.48943771,2.317802,0.7568095,407.2961,-0.21456677,-0.24840761,-0.0,0.07491791,1.56512193
32,1165,0,-0.05255853,-0.08637773,0.49685693,0.83505767,2.45980544,0.665363,0.17716183,350.1881,-0.65489666,-0.56563655,-2.0,0.00831605,1.50235751
35,7047,0,0.03051417,0.03436222,0.85434206,2.79973727,2.46230129,4.229131,0.57843375,348.23035,-0.8488398,-0.10730419,-1.0,0.05022384,2.06804559
36,7137,0,-0.03916737,0.00311749,0.80189774,1.89127007,2.46572574,4.008847,0.8831404,385.10425,-0.18567918,0.00311863,-3.0,0.01952834,1.59781331
37,1058,0,-0.00921827,0.02329383,0.99536926,0.76530687,2.46795183,1.764416,0.6166411,402.56848,-0.03604064,-0.20006121,-0.0,0.02402729,2.01810309
38,2702,0,-0.02508287,0.09979113,0.76444176,2.71048554,2.4634103,4.049058,0.74046445,367.6346,0.00688967,0.04323342,-3.0,0.05125619,2.18356077
39,1340,0,-0.02311431,-0.07223809,0.8744102,0.52731603,2.45714424,2.455623,0.590004,370.8559,-0.17790109,0.04431126,-0.0,0.06569523,0.95479779
40,6670,0,-0.00221798,4.2299E-4,0.82259449,1.97476417,2.47166653,2.069483,0.33091578,338.18665,0.09712555,-0.00505841,-2.0,0.00793715,1.75931081
41,1398,0,-0.04335762,-0.03292157,0.91989356,2.48804668,2.49970432,0.907894,0.35538307,399.3198,-0.20156025,-0.54920362,-2.0,0.07394481,2.72763746
42,1268,0,0.075603,0.04060839,0.76440044,0.0329232,2.4759737,1.608727,0.7218796,445.21103,0.09502466,-0.2213328,-0.0,0.05456516,2.49926319
43,1032,0,-0.08528639,-6.5632E-4,0.85002391,2.55004781,2.47508612,2.841292,0.7003868,380.8777,0.00639497,-0.1582648,-1.0,6.3994E-4,1.28357803
44,1769,0,-0.01121351,-0.00139056,0.90756312,0.50784988,2.4898222,3.281842,0.70478225,374.67902,7.434E-4,0.03452623,-3.0,0.01069844,2.24449182
45,1058,0,-0.04461915,-0.06689918,0.90385867,1.05905607,2.4729625,1.764416,0.80625457,454.71768,0.14698295,0.10346605,-0.0,0.00499713,1.78573009
46,1178,0,-0.06184905,0.08353607,0.83466675,0.56162724,2.45682958,2.690564,0.5315809,357.4721,-0.00931905,0.15335392,-1.0,0.00413282,2.42313987
47,1466,0,0.02212054,-0.020616,0.9962066,1.25456794,2.49065203,3.947182,0.80799204,378.7452,-0.21924111,0.1252704,-5.0,0.03887703,0.71522618
48,6664,0,0.0427021,0.00133046,0.90349839,1.48766685,2.49091388,2.394586,0.5629752,370.4075,-0.04969445,0.01341844,-1.0,0.01367189,1.9498443
49,2995,0,0.09692444,-0.02269281,0.846767,3.05999591,2.46706177,4.110828,0.846146,379.5031,0.67818449,-0.21362805,-1.0,0.06287269,1.0301145
50,6674,0,-0.01837606,-0.04002335,0.60829865,0.01863208,2.45622858,2.543502,0.6660602,381.00357,-0.07301744,-0.34622394,-2.0,0.07482232,0.01511285
51,1132,0,-0.08475945,-0.00731717,0.4673095,1.00607107,2.48525002,3.475091,0.5775693,355.77612,-0.01242961,-0.67760969,-2.0,0.0745341,2.10967411
53,1783,0,-0.01383838,0.02909255,0.96718362,2.98634666,2.45014871,4.70217,0.4649096,333.53836,0.5365271,-0.01863439,-4.0,0.00635958,1.26844743
54,1054,0,0.04215559,-8.7967E-4,0.95214548,1.17535682,2.46986022,2.805891,0.8082562,398.24496,0.02905362,-0.04513377,-2.0,0.00436584,0.26183432
55,2995,0,-0.02005251,-0.06988778,0.89290146,2.30104841,2.45261586,4.110828,0.7708486,369.67755,-0.40805364,0.38878129,-1.0,0.05352304,1.02726468
56,1343,0,0.10685462,0.01321229,0.71227306,2.94578948,2.48079196,3.970881,0.53897905,346.9772,-0.04450176,0.04464371,-4.0,0.05667332,2.53519111
58,1018,0,0.0127181,-0.01241376,0.8249043,2.99224164,2.46421214,1.222391,0.54272366,428.5788,-0.06582581,0.00524969,-1.0,0.00189932,2.63069812
59,1270,0,0.01765366,0.00463808,0.95700062,0.45394621,2.48962353,1.995011,0.71968305,415.15683,0.44191781,0.09955743,-1.0,0.01424868,3.05277861
60,956,0,0.0366078,-0.01865047,0.89612907,0.0722837,2.45032483,1.317463,0.4233838,379.54404,-0.11327546,-0.02527687,-2.0,0.04270778,2.64510433
61,6453,0,-0.04381478,-0.0102228,0.97458032,2.24226291,2.49037506,5.696721,0.723385,356.6391,0.07524993,0.03561826,-1.0,0.06700287,2.9524924
62,1285,0,0.00593754,-0.01129123,0.92943377,0.70711882,2.46008022,1.015396,0.46685734,428.45187,0.01222119,0.00390517,-1.0,0.07229044,1.02331367
63,3430,0,-0.0628656,-0.03611122,0.88952109,2.20168278,2.4965629,3.060865,0.7024253,378.5194,-0.35035364,0.0416687,-4.0,0.04637187,1.75246742
64,50,0,0.0860399,0.02969272,0.84488362,2.52606316,2.45856413,5.781012,0.822686,363.15616,0.03949714,0.0340504,-2.0,0.03688266,0.72425726
65,1778,0,-0.02881297,-0.03760072,0.86137672,1.8912115,2.47606531,4.513837,0.77522445,368.1688,-0.26311812,0.03051152,-1.0,0.04079911,0.9290262
66,6511,0,-0.00479484,0.03484122,0.82432264,1.75892669,2.47191839,4.138595,0.51323867,342.55627,-0.12983972,0.0707733,-3.0,0.09622097,2.16169275
67,50,0,0.00490222,-0.0280921,0.83484902,2.11684843,2.481247,5.781012,0.4520104,331.15225,-0.08366095,-0.31727776,-2.0,0.01988419,0.20551469
68,7003,0,-0.00517007,-0.0411303,0.94210787,0.82596821,2.48402637,2.079145,0.27847987,330.90976,0.04639437,4.6732E-4,-2.0,0.04806793,0.76065996
69,6304,1,0.02572729,-0.01565666,0.9274917,2.58182966,2.45613296,3.22723,0.7537344,379.64618,0.15148581,-0.05447442,-4.0,0.07597853,2.13364686
70,1839,0,0.01373857,-0.05338449,0.76655722,0.81903293,2.46007866,0.737093,0.29171023,393.0537,0.11707129,-0.04523969,-3.0,0.06099863,0.32784128
71,2424,0,0.04141916,-0.07095451,0.81137082,2.79755146,2.48275269,3.067954,0.32367253,328.53918,0.76654579,-0.22171605,-4.0,0.02586176,2.05011535
74,1268,0,-0.01659433,0.01182542,0.82852113,2.46470631,2.45289248,1.608727,0.5579279,396.3826,0.04606485,0.13044449,-2.0,0.04954126,1.98274254
75,6883,0,-0.0635197,-0.0828038,0.86962494,3.1257477,2.46818976,3.192362,0.7193726,376.44608,0.20929769,0.0966554,-1.0,0.02081184,2.96930544
76,7029,0,-0.08195407,-0.07283595,0.93399702,2.14415073,2.45012017,2.367353,0.5823588,371.18277,-0.15454365,-0.07610838,-2.0,0.02040956,0.83254022
77,6304,1,0.03899544,0.09159782,0.91008232,2.75852706,2.45745711,3.22723,0.39183575,333.80493,0.27727419,0.10471153,-5.0,0.00519818,0.97604866
78,1778,1,0.00737249,0.10124201,0.93989963,0.53367736,2.47606531,4.513837,0.77522445,368.1688,-0.07110676,0.07991376,-2.0,0.00793879,0.70104048
79,1737,0,-0.01099999,-0.02472632,0.86782342,1.05520777,2.45479354,4.878977,0.62055874,348.26083,-0.06455217,-0.17655645,-3.0,0.03766208,0.951689
80,1723,0,-0.00486901,-0.0284812,0.91391157,1.38742061,2.46924803,3.601616,0.46322238,340.2557,-0.02260093,0.03022285,-3.0,0.06927819,1.34212928
82,1161,0,-0.03443367,-0.086276,0.75463126,0.72671997,2.45150092,1.555112,0.54730135,397.03217,-0.31232344,-0.32632574,-1.0,0.01282881,2.84857022
83,1018,0,-0.08093449,-0.05140172,0.92584213,2.45008155,2.46347029,1.222391,0.34793714,365.87454,0.04673529,0.02753588,-0.0,0.02355135,0.62867018
84,1778,1,0.12245875,-0.04042297,0.86968547,1.83512936,2.46543653,4.513837,0.7036093,359.74615,0.09455222,0.10313833,-4.0,0.04962952,2.63432711
85,1666,0,0.04302228,-0.02100158,0.81835257,1.92282059,2.46158373,5.38402,0.7291469,356.64786,-0.34890291,0.38808995,-2.0,0.05144636,0.86720724
86,1028,0,-0.02362454,0.02675647,0.91089326,1.77855575,2.46042127,1.905592,0.4507294,361.1006,-0.02100266,-0.00534496,-0.0,0.00315068,1.49662907
87,1381,0,0.06321374,0.02604408,0.86620393,0.67341308,2.46071828,2.30822,0.83595586,421.35416,-0.274999,0.3617566,-1.0,0.03511309,0.78411677
89,6488,0,-0.01437955,0.00857635,0.76081207,0.76100604,2.48336334,3.194267,0.64347124,367.318,-0.18270885,-0.50420554,-1.0,0.03604155,0.30916917
90,6453,1,-0.0552413,-0.079121,0.79860292,0.20855907,2.46459949,5.696721,0.4415851,329.32822,-0.16260093,0.09689816,-2.0,0.01419279,0.25291109
91,3475,0,-0.00253296,0.00220933,0.83909027,2.85734551,2.45294574,3.154276,0.80746055,388.36475,0.13539364,-0.13586686,-4.0,0.03354862,0.65987175
92,6290,0,-0.02722101,3.2249E-4,0.5480741,1.79800888,2.4924691,3.666497,0.29984593,323.678,-0.18190418,0.6208373,-2.0,0.01741213,1.8267805
94,1062,0,0.05694932,-0.03338368,0.84768318,1.15279162,2.48836927,1.034585,0.41672742,406.5694,-0.02548215,-0.10708364,-2.0,0.07509693,1.60853919
95,1157,0,-0.01306926,0.02028665,0.71995722,1.80194876,2.47354509,1.380686,0.41055214,374.08942,-0.30159619,-0.13136049,-1.0,0.01810874,2.76873812
96,6925,0,-0.04121227,-0.06795912,0.7971354,2.9834762,2.49484337,3.474075,0.5757369,356.25,-0.12074994,-0.15407273,-3.0,0.0299885,2.8943904
97,1582,0,-0.04821201,0.03521042,0.90680508,2.77833011,2.45588431,4.875876,0.56963265,343.36356,-0.07421576,-0.08404552,-2.0,0.02689765,0.41042847
98,7085,0,0.01817898,0.06572724,0.86745086,1.68422316,2.45895784,2.948486,0.36643592,332.88635,-0.06228105,0.12936648,-2.0,0.04160758,1.13872335
99,1478,1,0.05133049,0.06470336,0.88085788,2.65870154,2.49970039,4.930457,0.7509394,364.24417,-0.51047027,-0.0320303,-1.0,0.07712898,1.85854814
100,6917,0,0.00791351,0.06020464,0.83738179,2.10291853,2.48139766,5.381076,0.7458649,359.7021,0.02683562,-0.08547677,-5.0,0.06336973,3.02213892
101,2838,1,0.01021659,0.10106182,0.97692818,2.96502481,2.47818923,3.042045,0.81058574,393.27762,-0.10404275,0.0974714,-4.0,0.06501007,0.84311048
102,1139,0,0.02194422,0.01875153,0.90070796,2.90019567,2.46205893,1.426655,0.46373218,384.2715,-0.0121146,0.07715515,-3.0,0.02745714,2.24053638
103,2324,0,0.06299495,-0.14251578,0.90910117,2.23777709,2.4994608,2.946516,0.614854,368.32422,0.23424674,0.09747627,-5.0,0.00276261,2.53538408
104,1737,0,-0.00699615,0.06472479,0.53632867,1.97985614,2.49591838,4.878977,1.0728878,398.53824,-0.39610544,0.50951152,-3.0,0.0823507,1.71879417
105,1240,0,0.02947347,-0.00423842,0.88151168,1.24410273,2.45249471,2.908783,0.53134257,353.98648,0.01451418,0.50361295,-3.0,0.00823471,2.76375696
106,2071,1,-0.00722957,0.03205013,0.7918914,0.68665829,2.46525135,4.930415,0.7110974,357.71646,0.06633776,-0.09392253,-3.0,0.0385563,0.48199733
107,1477,0,0.00385033,0.04353019,0.90286488,0.31821587,2.48955926,3.071949,0.5857464,361.78174,-0.07676367,-0.04564639,-3.0,0.03253048,0.09839872
108,19,0,0.00953104,0.00371045,0.94570965,2.72133849,2.47282335,1.315393,0.7183541,489.14127,-0.02450474,0.016667,-1.0,0.00655586,1.98349116
109,2726,1,-0.04298448,-4.601E-5,0.87893704,1.77305587,2.46702599,3.137713,0.7067423,375.5392,0.01382553,0.29030727,-4.0,0.08767603,3.07940702
111,1286,0,-9.8026E-4,0.00919613,0.88352699,2.49084523,2.45735726,3.64379,0.49494976,342.71756,0.16580254,-0.12579635,-3.0,0.08963973,0.34471407
113,2302,0,0.10190428,0.07167292,0.99011896,1.2117469,2.46281698,5.032377,0.71502423,357.3184,-0.0220462,-0.04363027,-4.0,0.00481064,2.8986991
114,1147,0,0.04524626,-0.01120154,0.97240737,0.28126391,2.48896409,2.823127,0.49621618,352.96085,0.04015371,-0.01784806,-3.0,0.01890124,0.60373998
115,1267,0,0.02697022,-0.0237889,0.81321388,1.7704115,2.46264039,1.866189,0.48385718,368.77505,-0.05177699,-0.65021682,-0.0,0.09568578,2.36793021
116,1010,0,-0.02111975,0.02559289,0.75144319,0.63873038,2.49250269,1.994275,0.42709574,356.8984,-0.42268,-0.11962171,-0.0,3.0514E-4,1.24092198
117,183,1,-0.0184499,0.08461577,0.79912822,2.63873527,2.46758978,3.186298,0.73078585,378.07416,-0.99068355,0.44306525,-3.0,0.09830435,0.9903847
118,1052,0,0.04899818,0.04671929,0.80324667,2.85401446,2.47392875,2.317802,0.7476231,404.2393,0.12226027,-0.00326982,-0.0,0.03369316,3.0445144
119,1666,0,-0.04982072,0.03506462,0.84784087,0.08220026,2.46522752,5.38402,0.5269467,337.95334,-0.77031857,0.01793491,-2.0,0.03206467,1.42027236
120,6660,0,-0.01989096,0.03569648,0.9223052,3.13807654,2.49334533,3.464829,0.8237814,387.94708,-0.07834838,-0.00162686,-5.0,0.04941713,1.8460108
121,3235,0,-0.01417965,0.0615263,0.90615164,2.99606456,2.45631218,5.280157,0.3644451,322.9081,0.13030257,0.09838939,-4.0,0.03013227,1.75457145
122,1360,0,-0.00875729,-0.080518,0.85835265,2.61146237,2.45693124,3.666415,0.3986203,331.88223,0.09908611,-0.16163053,-4.0,0.02788714,1.88022477
123,969,0,-0.02345493,0.0479353,0.8078239,2.9113129,2.46431679,1.549846,0.5992295,412.6695,-0.39038555,0.08062556,-2.0,0.01756679,0.67971603
124,426,0,-0.02887747,-0.03392119,0.60152689,0.1517495,2.46245014,5.798559,0.47334898,331.72415,-0.05255591,0.48192016,-3.0,0.03406323,1.26408923
125,6682,0,0.03733152,-0.08658753,0.96615665,1.75502008,2.47734102,5.054894,0.56010807,343.14633,-0.2034152,-0.65234632,-3.0,0.05710134,2.70915055
126,1693,0,0.034984,0.12860831,0.85567471,2.65481386,2.45699304,1.343029,0.7658645,504.96497,0.10320452,0.25244866,-1.0,0.00655991,0.07158056
127,1210,0,-0.08980108,-0.02472072,0.9325802,2.53133842,2.46795044,2.45853,0.67002606,384.88004,0.36714874,0.50287919,-2.0,0.06990502,2.26334168
128,6453,0,-0.02769963,4.4858E-4,0.78376412,2.63714856,2.45214529,5.696721,0.7393578,355.368,-0.21647637,0.15945423,-1.0,0.00183811,0.15364904
129,2814,0,0.01038137,-0.01861948,0.98982188,2.11324847,2.47235236,4.779398,0.5150613,339.6137,-0.03267525,-0.15794831,-3.0,0.07417705,1.6518859
130,50,0,0.07778475,-0.02178181,0.93150089,0.39119633,2.45606286,5.781012,0.73795635,355.13028,0.13682383,-0.03396476,-4.0,0.0137793,0.0491331
131,1066,0,0.0558721,-0.08691454,0.92996373,1.60730382,2.49231612,2.316286,0.4966089,361.47034,-0.10278739,-0.07816281,-0.0,0.07301156,2.08320824
132,2045,0,0.11343306,-0.07623984,0.87771053,0.81352133,2.46075696,3.444256,0.40216184,333.80502,0.08330008,-0.01575709,-5.0,0.01675595,0.44145978
133,7163,0,-0.00503996,-0.05986455,0.7337345,1.5599718,2.49651236,2.993881,0.52614015,355.37057,-0.2225661,-1.11184683,-3.0,0.0219309,2.42129699
134,7215,0,-0.00113909,0.06264657,0.65578617,1.6667517,2.452104,4.860585,0.59498256,345.6493,-0.17761666,0.12814583,-4.0,0.05132256,2.31866819
135,2296,0,0.01936565,0.05327974,0.71512053,0.24515668,2.46935182,4.949995,0.7251785,359.30518,-0.3945004,-0.26890976,-3.0,0.06729961,0.18304083
136,53,2,0.04568766,0.06181063,0.95600356,1.40210286,2.48537823,4.778296,0.7509394,364.24417,0.02020562,0.04024293,-3.0,0.01624656,0.89533152
137,1223,0,-0.00288037,0.01384515,0.90635007,2.15667936,2.48941279,1.140971,0.61206555,476.7974,0.09113155,-0.21908498,-3.0,0.05517345,1.06664638
138,1355,0,-0.03325219,0.00299738,0.52245884,2.70380723,2.48661485,3.03491,0.5224367,353.68985,1.10104354,-0.29333293,-2.0,0.07819901,2.0161384
139,1778,0,0.05467356,0.03319328,0.68923299,0.42227259,2.45493263,4.513837,0.5029351,338.39426,0.17625783,-0.29703137,-2.0,8.1757E-4,0.46545226
140,99,0,-0.07299708,-0.01845895,0.54128254,2.1757472,2.49947018,2.543969,0.48262477,355.75156,0.16512527,0.31492502,-4.0,0.0097995,1.08850291
141,7029,0,0.00588994,0.0120934,0.97014,0.62816749,2.45337877,2.367353,0.53774923,364.14334,-3.4711E-4,-0.92132064,-2.0,0.05196888,0.06941257
142,6969,0,0.00261817,-0.02508226,0.83595127,1.3648417,2.4858711,0.782435,0.32248,402.67096,-0.02008146,-0.1779152,-2.0,0.01970953,3.04035295
143,319,0,-0.00632562,0.03848887,0.68254873,0.69118806,2.45071237,6.565839,0.6535541,344.3779,-0.74514192,-0.4217113,-5.0,0.05034372,1.8778687
144,1478,1,0.02118315,0.05330637,0.92189519,2.58675997,2.45436761,4.930457,0.71502423,357.3184,-0.08813637,0.06851414,-1.0,0.00771384,0.6818498
145,1571,0,0.04055359,-0.01383975,0.75434539,0.19797057,2.46981328,2.987664,0.5466714,356.2588,0.50928061,-0.51340562,-4.0,0.08005918,0.66631583
146,6536,0,-0.00886038,-0.01261779,0.90787692,3.13026002,2.47115799,2.948505,0.72662616,382.2441,-0.02794327,0.08873962,-2.0,0.01604292,1.26998856
147,1381,1,-0.00317545,0.10122568,0.73327903,2.61110375,2.48455649,2.30822,0.7568095,407.2961,-0.8622268,0.4211185,-1.0,0.02999339,1.24210622
150,7197,1,-0.07025429,-0.04867386,0.78001915,1.65571084,2.48281903,4.512842,0.726885,363.49292,0.02136138,0.11565744,-3.0,0.07089734,1.87186289
152,6999,1,0.04777088,0.02203559,0.82877789,1.00115996,2.49506057,3.430987,0.7791211,382.66064,-0.01750017,-0.02505458,-2.0,0.07081197,0.99160418
153,1719,0,0.02056843,-0.04301499,0.9159444,2.66341749,2.48227803,1.167911,0.3671762,376.2375,-0.03633462,-0.14005853,-3.0,0.02121233,1.35779096
154,1249,0,-0.02746847,0.11635503,0.89020789,1.90356029,2.4821777,2.867758,0.3925912,338.39304,0.01345508,0.1442358,-3.0,0.00273382,1.71880311
155,1969,0,-0.11801066,-0.0338691,0.81217861,2.71628928,2.46438455,4.081929,0.81461227,375.94037,0.75622304,-0.17957921,-5.0,0.06754154,2.0832127
157,1139,1,0.00237511,0.06752473,0.89903792,0.21496675,2.47638759,1.426655,0.5050952,396.6502,0.00431756,0.43218937,-3.0,0.06137653,2.70098843
158,2814,0,0.12291386,0.0170058,0.86075411,0.23124916,2.45898768,4.779398,0.5597489,343.06372,0.26508206,0.0343672,-4.0,0.01620197,0.64885788
160,866,0,0.04269465,0.01051719,0.68972569,2.43028616,2.49936831,0.663411,0.18908389,358.2475,0.21619817,-0.13553937,-0.0,0.07120755,1.97624459
161,168,0,-0.04543226,0.01183571,0.7773843,1.04892131,2.46481311,4.704266,0.55796236,343.65338,-0.03671076,-0.22415219,-5.0,0.01139921,1.07421779
162,1843,0,0.03785435,0.03520362,0.81608627,1.99500585,2.47597597,4.812297,0.858504,374.5174,-0.04388793,0.30986963,-4.0,0.00761312,1.51109896
163,6684,0,-0.03443367,-0.086276,0.79933168,1.43440902,2.48016883,4.740185,0.33009246,322.60126,-0.20724665,-0.49389632,-5.0,0.08658495,1.93725196
165,1035,0,0.04852472,0.06305023,0.89854454,0.55409949,2.47914747,0.682407,0.32137462,423.47733,-0.36251321,-0.18295864,-2.0,0.07835288,2.46446361
166,7125,0,-0.01010514,-0.03433953,0.62890573,1.07380179,2.46262094,5.029268,0.4797446,334.60776,0.19851078,0.18496617,-3.0,0.01001646,0.11678908
167,948,0,-0.01132938,0.00868275,0.92844828,1.04619582,2.46566871,0.735428,0.2758915,385.98563,-0.11377706,0.11539533,-2.0,0.05299704,2.60162566
169,7197,0,4.7123E-4,-0.04427713,0.95278099,2.66141498,2.49887199,4.512842,0.53627557,344.78812,-0.10081957,-0.06669697,-4.0,0.01782151,1.58808948
170,1530,0,0.03062848,0.00315092,0.7578556,1.37462474,2.48793337,3.193196,0.78914106,387.70294,0.22782759,-0.08897098,-3.0,0.01609407,1.67906935
171,1466,0,-0.03034079,0.05360619,0.88545008,1.00830137,2.45526786,3.947182,0.66303575,359.16177,-0.16186761,-0.31905077,-5.0,0.02155878,2.70962588
172,125,0,2.7534E-4,-0.05463966,0.87507892,1.74290687,2.4972522,3.067683,0.46574822,346.8191,-0.02137151,0.09830834,-4.0,0.03076606,2.145035
173,6489,0,-0.02033591,0.08186522,0.88416029,2.06271567,2.450903,4.837907,0.70169324,356.30115,-0.21474661,0.23341709,-3.0,0.02056329,0.79884937
174,6678,0,0.0177224,0.00328816,0.90758717,1.4206145,2.48217096,3.251272,0.6590844,368.4911,0.05333439,-0.03063795,-3.0,0.09905802,1.58782605
175,2069,1,0.06199284,0.06398544,0.68141862,1.91060699,2.49504589,5.267802,0.7251785,359.30518,-0.20379113,0.34488189,-3.0,0.0518475,0.06031669
176,7037,0,-0.0170698,-0.00827349,0.81760742,1.22145897,2.47411393,3.266293,0.525761,350.72617,0.04723631,-0.14166963,-3.0,0.01531503,0.2586327
177,1123,0,-0.0062233,-0.01266729,0.92330069,1.2446327,2.47558535,2.543393,0.60481167,372.62637,0.18243866,-0.14624588,-1.0,0.06381893,0.95834676
178,61,0,-0.04292656,0.0573378,0.72154461,2.98704621,2.49940014,2.453645,0.5511081,367.833,0.16820057,0.06574088,-3.0,0.09000435,2.53981638
179,7393,0,-0.03290616,-0.01073826,0.92082073,3.05124484,2.45968964,6.396018,0.54593694,336.30164,0.07887766,-0.07671484,-5.0,0.02072791,0.43930787
180,1395,0,-0.0342563,-0.02908637,0.89587894,2.5706311,2.4807622,2.477518,0.8538541,418.728,-0.06187807,-0.04870011,-2.0,0.00249832,0.03527619
181,7255,0,-0.02399855,-0.03105512,0.99764287,2.8446977,2.46928432,3.743427,0.68242216,364.44547,-0.02806066,-0.00165756,-5.0,0.01360013,1.04806795
182,6453,0,-0.01305518,-0.00646764,0.91679876,2.48590665,2.48288343,5.696721,0.78633463,361.98212,0.004581,0.03792777,-2.0,0.0016659,2.28931751
183,6862,0,-0.01141655,-0.02744882,0.66904266,0.68209711,2.45218053,3.564575,0.8671953,388.79688,0.69167516,0.56639423,-4.0,0.07903795,2.33626053
185,6917,0,-0.00369862,-9.9387E-4,0.54324563,0.48070045,2.48042966,5.381076,0.5987963,345.67798,-0.05343289,-0.44905948,-3.0,0.00968832,1.54778733
186,319,0,-0.09046808,0.06642081,0.84166939,0.71228492,2.47447813,6.565839,0.72912043,352.54166,0.0202574,0.13283233,-5.0,0.02440054,0.67117072
187,6975,0,-0.08310081,-0.03626686,0.98080934,1.26029631,2.47024677,2.581463,0.6906645,385.14444,-0.20553317,0.02745634,-1.0,0.0375136,1.93562744
189,7057,0,0.07359382,0.03852943,0.88284441,2.16525226,2.48424497,2.072179,0.46125495,360.39548,-0.42520303,-0.21545381,-1.0,0.08344556,0.26847352
190,3723,0,-0.02239363,0.04748714,0.92410388,0.69775144,2.49645408,4.776246,0.66900736,356.65265,-0.04641669,0.00586709,-5.0,0.02443887,0.88804792
191,7393,0,0.06871991,-0.09036802,0.74807146,0.40706557,2.46400081,6.396018,0.6074931,341.86243,0.08647277,-0.42142741,-4.0,0.00220888,0.64389217
